ID,lang1,mother,father,listening,speaking
a,both,US,Spain,300,400
b,Spanish,Mexico,Spain,150,200
c,Spanish,US,Argentina,225,125
d,English,US,US,475,225
e,Spanish,Argentina,Cuba,50,175
f,Spanish,US,Cuba,125,200
g,English,Argentina,US,200,300
h,English,US,US,225,300
i,both,US,Ecuador,500,500
j,both,Cuba,US,250,450
k,English,Mexico,Mexico,300,125
l,Spanish,Mexico,Argentina,375,225
m,Spanish,Argentina,Mexico,425,400
n,both,Spain,Mexico,425,400
o,English,Spain,US,75,150
p,Spanish,US,Spain,100,150
q,both,US,Argentina,125,225
r,Spanish,US,Ecuador,450,350
s,Spanish,Spain,Ecuador,450,300
t,English,US,US,325,150
u,both,US,Mexico,350,175
v,English,Mexico,US,350,425
w,English,Cuba,US,100,300
x,both,Cuba,US,100,75
y,Spanish,Argentina,Spain,125,100
z,Spanish,US,Ecuador,250,450
